Έτος,Γάμοι,"Γάμοι ανά 1,000"
1932,39283,6
1933,46263,6.98
1934,47301,7.03
1935,45690,6.68
1936,38750,5.59
1937,45833,6.52
1938,46027,6.46
1939,47559,6.59
1940,32830,4.49
1955,66274,8.32
1956,55233,6.88
1957,68818,8.5
1958,69178,8.46
1959,74213,8.99
1960,58165,6.98
1961,70914,8.44
1962,70695,8.37
1963,78038,9.2
1964,76042,8.94
1965,80728,9.44
1966,71666,8.32
1967,81706,9.37
1968,65371,7.48
1969,72544,8.27
1970,67439,7.67
1971,73350,8.31
1972,60144,6.77
1973,73762,8.26
1974,68059,7.59
1975,76452,8.45
1976,63540,6.93
1977,76228,8.19
1978,72523,7.69
1979,79023,8.28
1980,62352,6.47
1981,71178,7.32
1982,67784,6.92
1983,71143,7.23
1984,54793,5.54
1985,63709,6.41
1986,58091,5.83
1987,66166,6.62
1988,47873,4.77
1989,61884,6.13
1990,59052,5.81
1991,65568,6.39
1992,48631,4.69
1993,62195,5.94
1994,56813,5.38
1995,63987,6.02
1996,45408,4.24
1997,60535,5.62
1998,55489,5.12
1999,61165,5.62
2000,48880,4.48
2001,58491,5.34
2002,57872,5.27
2003,61081,5.54
2004,51377,4.64
2005,61043,5.5
2006,57802,5.18
2007,61377,5.48
2008,53500,4.76
2009,59212,5.25
2010,56338,4.98
2011,55099,4.95
2012,49705,4.48
2013,51256,4.63
2014,53105,4.86
2015,53672,4.94
2016,49632,4.6
